,text,DA
73105,"-- {F um, } orthopedic care, {F um, }  not orthopedic, orthodontic care, -/",%
73112,"[ and, + and ] you have to really get them when they  are young, in order to have, {F uh, } not, {F uh, } a decent smile when they  are fifteen, sixteen years old. /",%
73116,"{C And } we footed the bill, because there was not any  such thing [ and + ] when they were young. /",S
73119,"{C And } it affects his speech a little bit,  [ not, + not ] anything, {D you know, } -/",S
73121,Right. /,aa
73123,"{C But } just enough that his bite is off a little bit  /{C and } it's like four hundred dollars,  /{C and } my insurance is only going to  cover {D like } fifty of it. /",S
73126,"and ] lining the jaw up with the teeth.  /[  It's, + it's ] less painful and less expensive. /",%
73140,"There have been some things, {D you know, } - /there's things done that are just <sigh>, -/",S
73162,"what do they call, -/",%
73174,more. /,%
73188,"{C But } appealing, {D you know, } and continuing to appeal, {D like } four or five or six times. - /To have convictions overturned - /{C and then } they have to  be retried and all that.  /It's such a waste of time and energy and money.  /{C And } [ it, + it ] just, - /that's what keeps, - /that's what is keeping all  [ [ the, + the, ] + {D you know, } the ] criminals in a position of being able to be released all  the time, like this. /",S
73191,are there some murders committed that you think leniency should be shown. /,%
73194,"{D Okay, } I could see that that might be the situation where, <inhaling> {F uh, } the person could be rehabilitated. /{C But, } I think just  out and out murder, and I am talking about, {F uh, } cutting people up --",S
73196,"-- {D you know, } where there's shown to be pathological tendencies where this person has done it over and over again, in a serial  fashion or whatever <TV>. That those,",%
73198,"kinds of things and [ any, + any ]  kind of violent assault, rape included,",%
73200,"needs to addressed [ [ in, + in, ] + in ] that context <TV>. /",%
73206,"teachers,  /{C and so } that's what they did <noise>.  /{C And, } {F uh, } <inhaling> [ they were, + <noise> they were ] given, # I think, # -/",%
73212,"He, - /we had gone out, {F uh, } <noise>  with he and his wife  /{C and } that was [ really, + really ] disturbing <noise>,",%
73214,"{D you know, } that that happened.  /{C And } these people,  <inhaling> {D you know, } [ in the, + in the ] course of the trial, {D you know, }  came up [ with, + with ] all these, {D you know, }  things about {D well, } {D you know, }  they were disadvantaged and all this stuff.  /{D Well, } nobody is that disadvantaged <noise>. /",%
73227,"{C And } I can see it continuing on when they are adults.  /I just, <noise> - /",S
73229,"It's, <inhaling> it's, {F uh, } - /[ I, + I ]  sometimes think if I were on a jury <TV> and had to make the decision could I. - /{C And } I like to think I could, like you, - /[ if, + if ] especially violent <TV> crime,",%
73231,where serial type killer or maybe a child has been deliberately killed. -/,%
73246,"{C And } I just, - /physically I wasn't able to  /{C and } {E I mean, } I love my job. /",%
73248,"{C But } I have four children,  /{C and } that's real hard. /",S
73253,"# {C but } as long # as I [ [ wa-, + w-, ] + {D you know, } was ]  going to work I was going to do [ as, + as ] much as I could,",S
73255,# as well as # I could et cetera. /,%
73257,"{C And } [ I, + I ] wanted to stay home when I had kids.  /{D Well, } I have two.  /I have a four year old and a three year old. /",S
73259,"{C And } we would like two more  /{C but } I, - /it's like, we talked.  {F Uh, } I don't want two more unless I can quit and stay home and take care,",S
73261,"# of them which is, #",%
73263,# something right now # financially it takes both people to work. /,%
73272,"Of course, my kids [ are, + are ] a little older  /{C but } [ then you, + then you ] give up the money. /",S
73277,"# {C But } I do # think that's one of the major changes.   {D You know,  /} my mama I remember her being home --",S
73279,"-- {F uh, }",%
73285,"# {D You know, } {C and, } # -/",%
73288,"# [ y-, + ] which I loved.  /# {C But } [ I'm, + I'm ]  there in the same school as my children, my two littler ones. /",%
73290,"{C And } I'm home when they are home.  /In fact, I've had an offer to just work the Christmas season at a local jewelry store,  /{C and }  I'm just really hesitating,",S
73292,"# because # [ I've, + ]  I enjoyed [ my, + ] the first summer home ever,",%
73294,# [ so + ] {D like } # seventeen years with my kids. /,%
73296,"{E I mean, } {D well, } I didn't have babies or day care [ or + ] working as a travel agent  /{C and } it was wonderful. /",S
73298,"# My kids #  and I, we just had a ball. /",S
73302,"-- [ fif-, almo-, + ] {D well, }  sixteen, fourteen, eleven, and nine <noise> -- /",%
73304,"-- {C and } we are just running every  direction #/{C and, } # -/",S
73315,"# Mom # at school, {D you know, } she was there to help  /{C or, }",%
73317,"# she was # there to take you,  /[ {C and, } + {C and } ]  I want to be able to do those things  /{C so. } -/",%
73320,"# come home #  /[ {C and, } + {C and } ]  a lot of my boys, {F uh, } my older boys' junior high friends will come over.  /In fact, everyday,",%
73336,"# {C and then } # there is the gas, /",S
73338,# {C and then } # there is the lunches and then the day care. /,S
73349,"They would eat you,",S
73361,"{D You know, } {C so } I feel good about them being there  /{C but } it's still not the same. /",S
73366,"-- {D you know, } who are forced to work who maybe don't have a college education.  /Thank goodness I have mine,  /{C and } I could get a real good paying job,",%
73368,"# if I wanted # to, {D you know, } [ d-, + ]  in fact, I still have offers, {D you know, } please come back, /",%
73372,"Yeah,  /yeah.  /{C And } it's been a real tough decision  /{C but } I'm very happy to be here with my kids. /My kids, we've seen a remarkable difference in,",B
73381,"# be there # mornings, I'll be there noons,",%
73383,"# I'll be # there afternoons and all.  /I feel like,",%
73394,"# By # firing squad, as I recall. /",S
73397,"Some, - /a gentleman, {F uh, }   that was one of the hi-fi murderers just had his conviction overturned, {D well, } appealed again. /I guess we have the longest, {F uh, } running inmates for death row # too. # /",%
73399,"{C And then } we had another guy, {F uh, } Ronald Lafferty, that thought God told him to kill his sister-in-law. /",S
73401,"He just got [ a, + a ] new trial because,",S
73408,"-- instead of dealing with [ re-, + ]  {D you know, } the real problems [ that, + {D you know, } </clanking> that ] [ they're, + they're ]  getting votes  (( presumably ))  by, {F um, } - /I assume they're doing it for that reason <noise>. /",%
73419,"-- {F uh, } # selling out your country. # -/",%
73425,-- people. /,%
73427,"{C And } I guess they got convicted, the four, of --",S
73429,"-- {F uh, } murder. /",%
73443,"There's just like five things that I think they ought to be snuffed for,  /{C but } [ I'm, + I'm ] for it for certain reasons. /",S
73445,"{C And } I think that things like rape, {F uh, } you can't get over, {F uh, } # it takes a lifetime. # /",S
73451,-- then snuff them. /,%
73457,-- a place of rehabilitation. /,%
73465,"The last time I went camping was about, {F uh, } in the middle of October,  /{C and } we went up to Lake Bonham and really enjoyed it.  /Had a real good time with the family.  /We do an awful lot of camping.  /How about yourself? /",S
73468,"{C And } the last time we went was in, {F um, } {D well, } I guess [ it was, + it was ] {D like } hunting season,  /{C and } we went down to {D like } a hunting ground and a lake --",S
73470,-- Lake Sam Rayburn --,%
73472,-- which is in East Texas. /,%
73489,"{C And } we really enjoy that.  /{F Uh, }  one thing, {F uh, } I've done all sorts of camping.  /[ I've, + I've ] camped, {F uh, }  in the snow on  a glacier.  /I've camped, {F uh, } basically almost anywhere, even to the point where we've had to  backpack in and everything you carried  in was what you had to use to  sustain you for [ that, + that ] camping trip and had to pack it back out. /",S
73503,"{F Um, } {D you know, } that was mainly for people in  motor homes [ or, + or ] had trailers [ or, + ] and so on and so forth, where, {D you know, } we   really wanted to go camping in a tent -- /",S
73505,"-- {C and, } {F uh, } K O A [ is, + is ] geared for the  people that have a # hookup. # /",S
73514,-- {C and } we just kind of go and hang out and just do fun stuff. /,S
73520,"Yeah,  /it's relaxing. /",aa
73537,I. -/,%
73549,"{C And } if, {F uh } --",S
73551,"-- {F uh, } they come from far away,  [ it's, {F uh, } it, it, + ] they take it more seriously  /{C and, } -/",%
73554,<Noise> <<child's record>> Yeah. /,B
73555,"My family's not very big  /{C but, } {F uh, } we're kind of. -/",S
73561,"We got together over Christmas.  /My wife's family, [ they're, + they're ] all in, - /most of them are in upstate New York.  /They have [ regular, + {F uh, } regular ] family reunions every summer. /",S
73569,-- when is it happening and where is it happening -- /,%
73571,-- {C and } they just plan on being here. /,S
73574,Uh-huh. /,B
73575,-- including a number of people from out in California. /,%
73577,"{C So } [ it was a, + it was ]  good, [ it, + {F uh } --",S
73579,"-- it ] worked out very well.  /One  [ in-, + ] interesting thing that they did at the time is [ they, + {F um, } they ]  videotaped [ the, + the ] whole shebang --",%
73581,"-- [ which, + ] it made a nice remembrance  [ of, + of ] the entire party. /",%
73585,"{D So, } {C so } [ that, +  that ] works pretty well that way. /",S
73591,"-- cousins and things that you don't really know, that you've never met, it'd be interesting to meet a lot of those people. /",%
73593,"{F Uh, } I don't know how you would go about, {F uh, }  getting them together,  /{C but } [ that, + that ] would be, {F uh. } -/",S
73599,I always liked that one.  /They're always so funny.  /{C And } --,S
73601,-- I also like the COSBY SHOW <laughter>. /,%
73603,Those are probably my two favorites. /,S
73605,"{D You know, } I've watched that one time  /{C and }  it was really good,  /{C but } now that's on, what, Saturday night? /",S
73610,I guess --,S
73614,"{D You know, } what system you're getting it through. /",%
73618,"I-, i-, i-, - /it's a good show. /",%
73623,{C And } he seems to do that sometimes <laughter>. /,S
73628,"{C But, } {F uh, } -/",%
73630,"Yeah,  /{F uh, }",B
73631,"I always like, - /[ I, + I ] like to watch {D like }  SIXTY MINUTES and TWENTY TWENTY. /",S
73634,"{F Uh, } <baby_crying> used to be a big fan of STAR TREK,  /{C but } that's kind of, th-, th-, - /it's gotten more and more to where they are so totally against, {F uh, } anything spiritual. /",S
73636,"{C But, } {F uh, } anyway, -/",%
73642,I always enjoyed the show anyway <baby_crying>. /,S
73644,"{C And } STAR TREK's in a s-, or the, {F uh, } STAR WARS set -- -/",S
73656,"[ Used to, + used to ] [ read a, + read a ]  lot of science fiction work, too. /",S
73666,-- watching much T V. /,%
73671,That must be tough. /,S
73675,-- it's going to be a surprise <laughter>. /,%
73678,"{E I mean, } it's like finding out somewhere in July what you're going to get for Christmas.  /{E I mean, } {D you know, }",S
73684,"Anyway, -/",%
73695,-- those were just kind of good old cartoons. /,%
73698,"{C But, } {F oh, } shoot, {E I mean, }  blowing up galaxies [ and + --",S
73700,"-- and ] putting a curse on the whole planet, [ [ or, + or, ] + or ] {D you know, } [ or + ] on [ all the, + ] {D you know,} everything of this species, {D you know, }  just all kinds of crud <noise>. /",%
73704,"-- and ] killing  /{C and, }",%
73706,"Gone are the days of those things they use-, - /what was it [ I, + ] {F uh, }  T N, Turner Broadcasting Network [ used to, + used to, ]  {F uh, } do the Saturday morning and Sunday morning cartoons, the old cartoons.   They used to put between the first and  second [ fea-, + ] feature at the theatre. /",%
73708,"Those old little ten minute jobs where, {F uh, } the real ballooned looking art work, {D you know } -- /",S
73724,-- don't do much cooking for him yet. /,%
73730,-- some sort of thing like that. /,%
73738,"{D You know, } {F uh, } something light and easy. /If it was pretty  [ in-, + ] informal --",S
73740,-- about anything. /,%
73753,-- and throw it on the grill  /{C and } it is good. /,%
73761,Uh-huh. /,B
73762,"{F Uh, } {D well } <noise>, about a day, day and a half in the crock pot, {F uh } --",%
73766,-- in kind of a mushroom gravy. /,%
73768,"{F Uh, } some veggies in it. /",S
73776,"{E I mean, } I get close to the woods with anything resembling a weapon  /{C and } suddenly there isn't a deer within fifty miles. /",S
73780,"{F Uh, } guy was [ in a, + {F uh, } in a ] hunting club -- /",S
73782,"-- {C and, } {D you know, } - /{C but } the whole group  goes out hunting  /{C and then } at the end of the day, they split it  -- /",%
73784,"-- {C and } whoever brought it down gets the lion's share  /{C and } the rest of it is split with the rest, with everybody in the group. /",S
73788,"-- {C so } [ there's, + ]  everybody had deer coming out their ears. /",S
73792,"Yeah,  /[ they, + they ] gave us some deer  /{C and } some of it's still in the freezer  /{C and } they, - /about eight months ago <laughter> they gave it to us. /",B
73793,<Laughter> Yeah. /,B
73794,"[ We, + we ] either crock pot deer  /{C or } we'll, {F uh, } {D you know, } put it out on the grill so that, {F uh } --",S
73796,-- the bulk of the tallow will dribble off of it. /,%
73798,Yeah. /,B
73799,"And cook, {D you know, } spaghetti with it. /",%
73801,Chili. /,S
73808,"-- then, {F uh, } {F uh, } {D you know, } just something light finger food sort of something or,",%
73810,Or maybe have something roasting out on the fire. /,%
73814,"{F Uh, } we don't do much in the way of entertaining. /",%
73822,"Which, {F uh, } kind of taco turkey loaf. /",S
73830,"Mashed potatoes with, {F uh, } [ m-, + ]  cheese melted over the top of them. /A couple things like that.  /It was pretty good  (( little ))  dinner. /Yeah,  /usually it's k-, -/",S
73850,"-- a lot of that is, {F uh, } tied up with the oxides or nitrogen although some of the kind of bluish gray stuff we see sometimes is tied up with particulates.  /{C But, } {F uh, } [ the, + ]  one of the major problems that Dallas has is oxides and nitrogen.  /That's because of all the equipment that's being operated.  But at the same time, {F uh, }  because [ we don't have, + we don't ] burn a lot of coal and solid materials we,",%
73854,"{F Uh, } power plants since, -/",S
73860,"-- and that goes back in with your sulphur  /{C and }  under the right condition you get H two S. /{C But, } anyway, {F uh, } -/",%
73865,"-- on, ] six thirty-five and seventy-five,  just the cars in general.  /That's where I see most of it. /",%
73868,"{C And } when they run rich [ they, + they ] spit out a lot of hydrocarbons,  /{C and } that's another part of the problem.  /The gas is not being burned completely.  /{C But, } {F uh, } hopefully, if we ever get our road  system fixed up, this will get a lot better. /",S
73874,"-- Central  /{C and, } {F uh, } I can remember coming over the hill down there long about, {F uh, } I don't know, little bit north of [ mark-, + ] Mockingbird on up [ in, + ] over those hills  /{C and } I said I wonder if they'll ever need this road. /",%
73886,"-- {C but, } {F uh, } I also travel a little bit  /{C and, } {F uh, } I don't know, it just seems like there's a certain point down there where you can breathe easier.  /It may be all in my mind. /",S
73892,Right. /,B
73893,"-- {C and, } quite honestly, with the  exception <laughter> of being involved in a part ownership of a little bass boat, I have never really got into sailing or boating. /",S
73904,"-- I don't have a trailer hitch on my car anymore/{C so } it's hard for me to get it somewhere  /{C but, } -/",%
73907,Right. /,B
73908,"-- {C but } you couldn't really sleep in there unless you sort of stuck your body out the hole,",S
73922,"-- they are, if you get a big cabin cruiser or --",%
73952,"{C And } if you get a big enough one, then you've got a little motor on it also, where if it's light wind, you can still putt around a  little bit and have fun. /",S
73960,"-- on a calm summer day,",%
73978,"{F Uh, } he's thirty-seven  /{C and } I don't know if  he's ever going to have any or not,  /{C but } I do have some neighbor kids, lots of little neighbor kids. /",S
73980,"That, - /I go out and, {F uh, } I play ball with them.  /{D You know, } it's, because like this one that lives right next door, her mother does some work at home --",%
73982,-- on computers -- /,%
73984,"-- {C and } it just seems like she doesn't have any time for her.  Which is kind of sad, {D you know. } /",S
73986,"{C So } the kids are kind of hungry for someone to play with them.  /{C So } I will go out and play catch with them or {D you know, } [ we ha-, + ]  let the dogs outside  /{C and }  they will roll around on the ground and play with the dogs  /{C but, } {F uh, } {D actually } I do think that the parents should have, {D you know, } a little  bit more time to spend with their kids. /",S
73990,-- {C but } we always had our days off together  /{C and } we went camping on vacations.  /{C So } we had a lot of time together that way {D you know. } /,S
73992,Uh-huh. /,B
73993,"-- and, {F uh, } as a nurse  /{C and so } she was always home for us -- /",%
73995,"-- {C and } I always, [ I + ] really appreciated that.    Having her there [ when I was, + {D you know, } when I ] came home from school and when I  worked,  /{C but } now when I look back at it, it must have been a really difficult <laughter>  thing that she did --",S
73997,-- for us. /,%
74000,"{C So, } it's really rough.  /{F Uh, } I have one neighbor  [ that's, + ] {F uh, } the father is a fireman  /{C and } he works {D like } four days on  /{C and } it seems like he is suppose to come home for {D like } three or four days,  /{C but } he can't make  enough as a fireman to support his family, {D you know. }  /{C So, } he's got a second job. /",S
74002,"{C So } [ he's, + {D you know } he's ] not home very often. /",S
74004,"{C And } that's, {D you know, } - /the kids I know miss that. /",%
74010,"{C But, } {F uh, } -/",%
74015,"# Uh-huh.  /# {C But } we are, - /we just got married {D like, } {D like } December,/{C so } we are going to wait a year. /",B
74016,{F Um. } Yeah. /,B
74017,"# {C And, } #",S
74022,"{C And } they will be married nine years <laughter>,",S
74029,"-- [ you should, + you should ] be sharing your family.",%
74031,"And giving your values, {D you know, } making something  better of the world by raising up good kids <clicking> --",%
74033,-- and letting them know they're loved and stuff. /,%
74035,"# [ Give them, + give them ] an edge, #  /{C but, } we feel [ like, + like ] the first year needs to be devoted to, {F uh, } making the family,  the couple strong --",S
74037,-- and secure in their love for each other. /,%
74039,"# {C But } then, # a family [ is, + is ] definitely a high priority. /",S
74041,"{D Well, } {D well } [ [ I, + {F uh, } I ] am in, + I am in ]  a different situation.  /I am a missionary -- /",S
74043,"-- {C and } I am home on furlough.  /It called,  {D like } - /I have worked for four years in Africa  /{C and } I come home for a year. /",S
74045,"{C And then } we go back for four years.  /{C But }  my husband and I will do the same job  /{C and } we will be living [ in, + in ]  Africa  /{C and } we will be working together. /",S
74047,"{C So, } {F uh, } [ we will, + we will ]  share the job of raising the family.  /{E I mean } as a mother I will have certain responsibilities that he  might not necessarily have  /{C but, } still we will share that job. /",S
74049,"{C But } we have, - /then we have decisions that we  have to make that are hard about schooling, like do you want to home school your  kids on a computer program --",%
74051,"-- {D you know, } that kind of thing -- /",%
74066,-- physically developed and all that kind of stuff/{C and then } I'd started picking it up again a couple of years back  /{C and } I've really  been enjoying it. /,%
74069,"[ But, + ] and then quit for awhile  /{C and } recently  I picked it up, like you say, about a couple of years ago  /{C and, } {F uh, }  I've been playing, {D you know, } off and on when I can. /",%
74071,Up in Minneapolis it's not too easy to play in the winter # of course # -- /,S
74073,"-- {C but } I actually live in Florida  /{C so, } {F uh } --",S
74075,"-- {F uh, } I'll be going back down there in May and hopefully be picking it up a little more regularly. /",%
74077,# I was going # to say <laughter>. /,aa
74081,"Fortunately, {F uh, } down where I live in Florida, there's some golf courses that are pretty reasonable if you know where to look. /",S
74083,"{F Uh, } one of them is the University of Florida golf course --",S
74085,"-- which is open to the public  /{C and } that's  [ pretty, + pretty ] good. /",%
74087,Yeah. /,B
74088,-- is fairly reasonable to play on. /,%
74092,"{F Uh, } {D well } they range anywhere from about five bucks for your basic city type course up to fifty, sixty dollars for a  really, really nice course. /",S
74095,"# Really. #  /{F Oh, } that's super. /",B
74096,"Yeah.  /{C And } I guess  ((   )) , {D well }  it's free for me # <laughter>. # /",aa
74098,Somebody's paying  /{C but } not me. /,S
74104,"It's nice to see those  (( [ who + ] )) , guys.  /They have such good style that, {F uh } --",S
74106,"-- [ it's, + {F uh, } <laughter> it's ] pretty fun to watch. /",%
74118,# Right. # /,aa
74124,"-- {C and then } they go off to some other hole  /{C and } they come back when they're putting, /",S
74128,"{F Uh, } I'm a student right now. /",S
74139,"-- what was ] that movie that they had out?  /Th-, - /there was a movie about a professional golfer  /{C and } # [ I, + I ] # --",%
74141,-- can't remember.  /It was on network T V a couple of times. /,%
74151,"{C But, } {F uh, } yeah.  /I guess when I get back,  I'm going to school in Florida {D actually. }  /{F Uh, } {C and, } fortunately, I've been able  [ to, + to ] play some golf on a student budget which is --",B
74152,Uh-huh. /,B
74153,"-- <Noise> real helpful, {D you know. }  /{C But, }  [ it, + it's ] unfortunate, {D you know. }  /You hear about Japan.",%
74155,"I guess, {D you know, } [ it's, + it's ] like two hundred fifty dollar minimum or  three hundred dollar minimum just [ to, + {D like } to ]  practice even  ((   )) . /",%
74157,Yeah. /,B
74158,-- that is out of control. /,S
74163,"#  ((   )) . #  Yeah.  /Yeah,  /[ I, + I ]  played, {F uh, } {F uh, } eighteen holes with some Japanese guys [ in, + in ] Gainesville, as a matter of fact.  /{C And } it was really wild.  /They were into it. /",B
74164,Yeah. /,B
74177,Oh. /,B
74178,"-- {C but, } {F uh, } they was getting a program set up, that for all new hires they was going drug, {F uh, } give them drug tests. -/",S
74180,"{C But, } {F uh, } they didn't hire very many new hires because all the people that usually work there, {D you know, } just stayed there  because [ it was, + ] they had been there for a long, long time. /",S
74182,"{C But, } {F uh, } <swallowing> {D actually, }  I think they should do it. /",S
74186,-- of any kind <laughter> {D you know. } /,%
74190,-- # that # this is what is going to happen. #  /{C And } # --,%
74192,"-- {C then } if you don't like it, why  then, {D you know, } you'll have to go look for a job someplace else. /",%
74198,"{F Uh, } # personally I, # -/",%
74201,-- there was guys who would fool around  /{C and then } when that urinalysis came around they would be all scared.  /,%
74203,"The only problem is, {D you know, } if you have done  drugs but you've stopped and, {F uh, } you do get caught, it is [ kind of, + kind of ] harsh. /",S
74205,Yeah. /,B
74224,"-- {D you know. }  /{F Uh, } it just seems like  there is so much more of it going on anymore --",%
74226,"-- that, I don't know what's wrong with the people, {F uh, }  /{C but } I think that [ the, + the ] government should do something about  stopping it completely.  /About it coming into our country. - /{D You know, } they just slap  somebody's little hand,  /{C and, } {D you know, } {D well, } don't do that again  /[ {C and } + --",%
74231,"-- [ th-, + ] the risks are worth it for them. /",%
74233,# Yeah. # /,B
74234,"{C But, } {F uh, } other than that, why,  I don't know.  /Like I say, maybe one of these days I'll get a job because I am looking still for a part-time job, {D you know, } since my company went bankrupt #  /{C and } # --",S
74236,"-- I'll see what they do, {D you know. }  /{C But, } like  I say, [ I, + I ] wouldn't care because [ [ I, + I ] don't, + I don't ]  even smoke  /{C so } <laughter> --",%
74238,-- they can test me all I want.  /I wonder [ what + ] ((   ))  if you take medicine if that would effect it. /,%
74240,"Yeah,  /{D see } # now [ that + # --",B
74241,"# [ I've heard # of, + I've heard of ] that,  /yeah. /",S
74259,"-- {C and } when he gets paid, I pay all the bills./",S
74261,"{C And } out of his check they take a savings  /{C and }  out of my check, they take savings --",S
74263,"-- and retirement [ both, + ] out of both checks. /",%
74265,"{C So, } as far as extra savings, we really don't have that much extra to save. /",S
74267,"{F Uh, } his check, once a month, <noise> pays all the bills.  /My check, weekly, buys groceries and gas and --",S
74271,-- {C and } it works out real well that way.  /We don't run into a lot of problems -- /,S
74273,-- {C but } --,S
74278,"-- paycheck and then {D like } the mortgage and the electric bill, {D you know, } those big bills the [ second + --",%
74280,"-- second ] pay  /{C and then, } again, he does have a savings that comes out, {D you know, } for # Christmas and stuff, that kind of thing. # /",%
74282,"# <Laughter> Yeah,  /# that kind of thing. /",aa
74286,Yeah. /,B
74287,"-- car insurance, medical bills, whatever  (( happens )) . /",%
74289,"# {C But, } {F uh, } # -/",%
74293,"{C And, } of course, the cost of living keeps going up so much. /",S
74295,"Groceries are outrageous  /{C and } I keep saying my check does less and less /<laughter> {C but, } -/",S
74298,"We bought more things  /{C and } it seemed like we spent more.  /Then a lot of it was going to, {F uh, } daycare and that kind of thing. /",S
74300,"{C So } it just seems like with me staying home, we had that big cut  /{C but } we save more <laughter>.  /I don't know how  /{C and } I don't know why  /{C but } # we # -- -/",S
74305,-- {D well } the frozen things # for the microwave and things  like that. # /,%
74310,-- just watch a little bit more I guess. /,%
74317,"-- {F uh, } from school.  /{C But } in the summer he's still young enough that I cannot leave him by himself. /",%
74319,So in the summer I have that extra  /{C and } ours is seventy dollars a week plus all activities -- /,S
74321,"-- {C and } that's usually movies one day, skating one day <laughter>. /",S
74323,Swimming one day <laughter>. /,S
74329,"Ho-, - /do you have two children? /",%
74335,# Yeah. # /,B
74336,"# {C But, } {F uh, } # -/",%
74339,"Although the insurance we had was good, {F uh, } when Thomas was younger.  A lot of the stuff had to be paid up front  /{C and then }  you were reimbursed.  /{C So } it was nice when you'd get a couple of hundred dollar check # from the, #",S
74343,"# <Throat_clearing>. #  # {C But, } # -/",%
74354,-- in the Bay area. /,%
74356,"{C So, } I'm not sure how much I'm getting  back  /{C but } I'm pretty sure I should get back a little bit since #  ((   ))  student, - /{C so } <noise>. # -/",S
74358,It's not too much. /,S
74360,Not too bad though <noise>. /,S
74365,"{D You know, } [ [ that, + that's,  ] + that's ] scary too. /",S
74367,"{C Because } it's not anything like the way it was when I was young and small and a child.  /{C So, } {D you know, } [  that, +  that's ]  a scary part too, that you have to think about. /",S
74372,"-- day by day [ things get more, + {F uh, } things get  more ] expensive as well as more complex. /",%
74374,"{C And, } {D you know, } <noise> taxes are one of the  ways to help pay for a lot of the things that are needed in this society. /",S
74376,"{E I mean, } everything [ from, + {D you know, } from ]  medicare [ to, + {F uh, } to ] social security [ [ to, + {F uh, } to ] feeding the h-, + [ to, + {F uh, }  to, ] {D you know, } feeding the ] homeless, to maintaining prisons, to maintaining polices or  fire departments  and things like that.  /{C And } it's, <noise> - /now there's more and more things that need attending to and that sort of thing.  /{C And, } {D you know } --",S
74378,"-- [ it's, + it's ] becoming a larger <squeak> responsibility  /{C but } someone <squeak> has to pay for it  /{C and } that's us. /",%
74381,"{C And, } {F uh, } {C so } that would be interesting to see <noise>.  /I wanted to see that program. /",S
74383,"<Child_talking> {F Oh, } I know <laughter> /",aa
74386,"{C And, }",S
74392,"{C And } [ that, + that's ] kind of a scary thought.  /I hope it doesn't come down to that. /",S
74394,"{C But, } on the other hand, [ they also, + ]  while those countries that have high taxes, also have things like, {F uh, } <swallowing>  socialized medicine, things like that too, which are nice fringe benefits of it.  /{C So } [ everyone has, + everyone has ] the access <squeak> to medical facilities  as well as the doctors. That sort of thing. /",S
74396,"{C And } it's good  /{C but } [ it's, + it's ] the price they pay <laughter>. /",S
74398,"<Noise> {E I mean } it can be argued one way or another  whether economically it's actually good for the country or good for any given country  to have that because those countries [ tend to be, {F uh, } {A as far as cash flow, } a lot, + {F uh, } [ have be, + ] tend to have ] a much slower cash flow --",S
74400,"-- and don't  (( generate ))  [ a larger + [ a, + a ] large ]  amount of revenue because there's so little, {F uh, } currency flow through out the  economic system <squeak>. /",%
74404,"[ As, + as ] it turns out, {D you know, } it's  [ one of those, + one of those ] (( interests )) , {D you know, } I kind of like to keep up on.  /{C Because, }  {D well } it's  nice to know that when [ I'm actually, + ] {D you know, }  I do start working that, I like to know where my tax dollars are going too. /",S
74406,"((   ))  work hard to get, {D you know. } - /I like to know where it's going to. /",S
74412,-- the ] taxes for them.   Sponsored by the alcohol and tobacco companies. -/,%
74414,"{C And } [ it's + ] things like tobacco  [ are, + ] {F uh, } [ they're, + they're ] a proven health hazard to # smokers # --",S
74416,-- as well as nonsmokers <sniffing>. /,%
74418,"{C And } it's, - /as far as the safety thing, [ in,  {D like } + in ] San Luis Obispo, for example, there's an ordnance which states that, {F uh, }  there's no smoking in any public areas.  / *[[typo ordinance]]{C And so } if you walk into any  restaurant or any hotel there's no smoking allowed anywhere. /",%
74421,"But my husband does  /{C and, } {F uh, } I think one  of the, {F uh, } my, - /first of all, always salary and se-, - /the second thing is, {F uh, }  because we have children,  /{C so }  it would be, <hum> {F uh, } health benefits and medical  benefits  /[ {C and } + --",S
74425,Uh-huh. /,B
74426,"-- {C so, } {D yeah, }  I  (( would ))  /I'd say health care is way up there, especially anybody with kids.  /{F Uh } --",%
74428,"-- {C and } that's one of the big  things that we always look at, {D you know. }  [ When we, + when I ] think about [ t-, + ] changing jobs  is, {D you know, } {D you know, } what kind of health care they have  /{C and } does the company pay for it.    {D You know, } all or  partially  /{C or } how does that work. /",%
74430,"{C And, } {F uh, } also, {F uh, } vacation time too [ is a, + is a ] big # one for me. #",S
74432,"{F Uh, } and I guess support for  [ whatever, + whatever ] other,",%
74436,"{F Uh, } # cause I've # --",S
74438,-- been at places which offer a lot of support and others that don't offer any # and # --,%
74440,"-- [ some that, + ] sometimes that's  coincided with a place that offers more vacation time though,  /{C so } that's not so bad, {D you know. } /",%
74442,"{D You know, } it's kind of a give and take kind of thing, I think. /",S
74444,"{F Uh, } I say that health care is probably definitely number one though.  /((   )) want to just, {D you know, } all your salary can't <laughter>  even # begin # --",S
74446,"-- to pay for what you can wind up losing, {D you know } --",%
74448,-- in a major illness or something.  {F Uh. } -/,%
74451,{C And } that really helped us out a great deal./{C So. } - /{C But } my husband does get vacation  /{C and } it's worked out really good for us too. /,S
74453,{C So } <cough> <throat_clearing>. - /{C But. } -/,%
74455,Yeah. /,B
74456,"{F Uh, } {C cause } that makes a big difference./My wife works part-time. /",S
74458,"{C And } she works, {F uh, } as a assistant manager in a fabric store. /",S
74460,"{C And so } she works a lot of evenings and weekends/{C and so } two days a week, I, {F uh, } manage to get home early enough to meet the kids  on the bus <clicking>.  /{C So }  she [ wor-, + ] {D you know, } goes in early  those days and works {D like, } {D you know, } noon til  close./{F Uh, } {C so }  we have #  ((   ))  <clicking>. # -/",S
